loss,iou,precision,recall,f1_score,val_loss,val_iou,val_precision,val_recall,val_f1_score,lr
0.9317488074302673,0.6722669005393982,0.6211906671524048,0.8956217765808105,0.7446005344390869,1.310359239578247,0.35986992716789246,0.18021903932094574,0.0011837672209367156,0.002186164492741227,0.0002
0.5771156549453735,0.9170048236846924,0.8940134048461914,0.9860236048698425,0.9369590878486633,1.2743232250213623,0.3599163591861725,0.0,0.0,0.0,0.0002
0.47918859124183655,0.9373502135276794,0.9208889007568359,0.9881361722946167,0.952542781829834,1.2866668701171875,0.3599163591861725,0.0,0.0,0.0,0.0002
0.4385259449481964,0.9445850849151611,0.9315934181213379,0.9876348376274109,0.9577229022979736,1.318160057067871,0.3599163591861725,0.0,0.0,0.0,0.0002
0.41089707612991333,0.946516215801239,0.935538649559021,0.986265242099762,0.9594162106513977,1.3389458656311035,0.3599163591861725,0.0,0.0,0.0,0.0002
0.385578989982605,0.9497342109680176,0.9397360682487488,0.9867473244667053,0.9619095921516418,1.3409571647644043,0.36401745676994324,1.0,0.006823501083999872,0.01250855065882206,0.0002
0.37341630458831787,0.9514937400817871,0.9432913661003113,0.9855905771255493,0.9631972312927246,1.1254889965057373,0.4718034863471985,0.9923029541969299,0.18509355187416077,0.31586408615112305,4e-05
0.3631893992424011,0.9537528157234192,0.9447221755981445,0.9876436591148376,0.9654380679130554,0.7261204719543457,0.7207406759262085,0.9832683801651001,0.5886791348457336,0.7439439296722412,4e-05
0.3576139509677887,0.9548710584640503,0.9467364549636841,0.9871913194656372,0.9663224220275879,0.4980749189853668,0.8612538576126099,0.9611082077026367,0.8250742554664612,0.8933000564575195,4e-05
0.35713446140289307,0.9546358585357666,0.9467077851295471,0.9868438839912415,0.965573787689209,0.41672006249427795,0.9053469896316528,0.9489812254905701,0.9062869548797607,0.930141270160675,4e-05
0.34990423917770386,0.9562605619430542,0.9489858746528625,0.9869195222854614,0.9671871662139893,0.3609009087085724,0.9202553033828735,0.9066855907440186,0.9773767590522766,0.9418004751205444,4e-05
0.3445054292678833,0.9566724300384521,0.9498782753944397,0.9865901470184326,0.9675082564353943,0.3621160686016083,0.9131650924682617,0.8885570764541626,0.9879224300384521,0.9366641640663147,4e-05
0.33945924043655396,0.958063006401062,0.9507812857627869,0.9878162741661072,0.968472421169281,0.3792569041252136,0.8987643718719482,0.8656437993049622,0.9926925897598267,0.9267126321792603,4e-05
0.33197903633117676,0.9594573974609375,0.9532099962234497,0.987360954284668,0.9697104096412659,0.3695737421512604,0.9086898565292358,0.8799678087234497,0.9912829995155334,0.9348131418228149,4e-05
0.3343573212623596,0.9569739699363708,0.950562596321106,0.9863155484199524,0.9668018817901611,0.35736632347106934,0.9187202453613281,0.892979085445404,0.9920707941055298,0.9416927695274353,4e-05
0.3229627311229706,0.9614017605781555,0.9561150670051575,0.9872649908065796,0.9711636304855347,0.3422948122024536,0.9314835071563721,0.9166157245635986,0.9845307469367981,0.951622724533081,4e-05
0.3208921551704407,0.9613385796546936,0.9558019638061523,0.9875069260597229,0.9707411527633667,0.3305433392524719,0.9352710247039795,0.9212314486503601,0.9853777289390564,0.9544464349746704,4e-05
0.3136529326438904,0.9625498056411743,0.9572039842605591,0.9878932237625122,0.972163736820221,0.3316279649734497,0.9353487491607666,0.9239469766616821,0.9822813272476196,0.9545091986656189,4e-05
0.31372278928756714,0.9618418216705322,0.9573945999145508,0.9865673780441284,0.9713671207427979,0.32379719614982605,0.9363825917243958,0.922001838684082,0.9863240122795105,0.955230176448822,4e-05
0.30747687816619873,0.9629581570625305,0.958299994468689,0.9873455166816711,0.9723251461982727,0.3314059376716614,0.9315646886825562,0.9154290556907654,0.9861081838607788,0.9516271948814392,4e-05
0.3066249489784241,0.9624537229537964,0.9575873017311096,0.9873241782188416,0.9717316627502441,0.32312577962875366,0.9351598620414734,0.9186071753501892,0.9883472919464111,0.954270601272583,4e-05
0.2998245358467102,0.9641975164413452,0.9598132371902466,0.9876567721366882,0.9729982614517212,0.32985493540763855,0.9291818737983704,0.9083521366119385,0.9907536506652832,0.949552595615387,4e-05
0.2952664792537689,0.9652279615402222,0.961258590221405,0.9877132177352905,0.9740172028541565,0.3221401572227478,0.9319437742233276,0.9114182591438293,0.9916847944259644,0.9515723586082458,4e-05
0.29329177737236023,0.9648053050041199,0.9610294699668884,0.987297534942627,0.973506510257721,0.3269304931163788,0.9282054901123047,0.9062150716781616,0.9917470812797546,0.9487543106079102,4e-05
0.28751564025878906,0.9653229713439941,0.9615769386291504,0.9875191450119019,0.9740237593650818,0.34051141142845154,0.9213101863861084,0.8972238302230835,0.9911479353904724,0.9436591863632202,4e-05
0.28754922747612,0.9646788239479065,0.9610627293586731,0.9870632886886597,0.9735244512557983,0.32241368293762207,0.9281444549560547,0.9080163836479187,0.9893819093704224,0.9486141204833984,4e-05
0.2794744074344635,0.9661746025085449,0.9627341032028198,0.987607479095459,0.9747073650360107,0.3321322500705719,0.9244886040687561,0.8994408249855042,0.9938908219337463,0.9459272027015686,4e-05
0.2793726921081543,0.9666170477867126,0.9634225964546204,0.9875599145889282,0.9748466610908508,0.32277050614356995,0.9275591373443604,0.9057081937789917,0.9912648797035217,0.9481347799301147,8e-06
0.279630184173584,0.9666115641593933,0.9634858965873718,0.9874834418296814,0.9749062657356262,0.3207148313522339,0.9284604787826538,0.907188892364502,0.9909642338752747,0.9488361477851868,8e-06
0.27851173281669617,0.9666478633880615,0.9637985825538635,0.9872053861618042,0.9748949408531189,0.3225688636302948,0.927747368812561,0.905123770236969,0.9923298358917236,0.9483715295791626,8e-06
0.27606120705604553,0.9672662019729614,0.9640929698944092,0.987854540348053,0.9756233096122742,0.3215465247631073,0.9277636408805847,0.9058670997619629,0.99141925573349,0.9483859539031982,8e-06
0.27376094460487366,0.9674164056777954,0.9643252491950989,0.9878399968147278,0.9758217930793762,0.3275351822376251,0.9251605272293091,0.901261031627655,0.9927319884300232,0.9465125799179077,8e-06
0.27337756752967834,0.9675619602203369,0.9646963477134705,0.9876700043678284,0.9759224057197571,0.3209662139415741,0.9276829957962036,0.9053565859794617,0.9919235110282898,0.9483667016029358,8e-06
0.2744155526161194,0.9674981832504272,0.9643674492835999,0.9879222512245178,0.9756619334220886,0.3247948884963989,0.9258972406387329,0.9026612639427185,0.992232620716095,0.9470695853233337,1.6e-06
0.27492693066596985,0.9677097797393799,0.9646531939506531,0.9879463315010071,0.9757423400878906,0.3269982635974884,0.9247758388519287,0.9010664820671082,0.9923069477081299,0.9462670683860779,1.6e-06
0.2747209072113037,0.9676211476325989,0.9646634459495544,0.9877974390983582,0.9755598902702332,0.3276485204696655,0.9243718385696411,0.9004013538360596,0.992450475692749,0.9459880590438843,1.6e-06
0.2736644744873047,0.9676119685173035,0.9645835757255554,0.9878683686256409,0.9756373763084412,0.328350692987442,0.9239532947540283,0.8997766971588135,0.992517352104187,0.9456914663314819,1.6e-06
0.27336132526397705,0.9678345918655396,0.9650041460990906,0.9877656698226929,0.9759880304336548,0.3286075294017792,0.9237607717514038,0.8994948267936707,0.9925412535667419,0.9455540180206299,3.2e-07
0.2729743421077728,0.9674574136734009,0.9643445014953613,0.9878833889961243,0.9757057428359985,0.32847437262535095,0.923749566078186,0.8995299935340881,0.9924762845039368,0.9455463290214539,3.2e-07
